report_id,date,site,report_type,text
R11-00423,2026-02-09,Naharkatia,UC,"Unsafe condition: Crane operator log book at compressor house not signed for one day, corrected. Supervisor informed."
R11-00424,2026-01-06,Duliajan,UC,"Unsafe condition: Gas detector at rig floor calibration due next week, scheduled. Area secured."
R11-00425,2026-08-15,Duliajan,UC,"Unsafe condition: Water spill on floor near canteen at oil collecting station, mopped, employee slipped but no injury. Reported during morning inspection."
R11-00426,2026-01-24,Jorhat,UC,"Unsafe condition: Scaffold at workshop without toe boards and handrails, worker climbed to 6 metres unsecured. Reported during night shift."
R11-00427,2026-02-27,Duliajan,UA,"Unsafe act observed: Contractor descended into sump at GGS with no gas test, rescue equipment not available, attendant absent. Reported during morning inspection."
R11-00428,2026-05-30,Moran,Incident,"Incident report: Waste bin overflowing at compressor house, cleared by housekeeping."
R11-00429,2026-09-04,Baghewala (Rajasthan),UC,"Unsafe condition: Grinding sparks fell close to condensate tank at wellhead, no fire watch, no fire blanket. Reported during morning inspection."
R11-00430,2026-03-01,Jorhat,Incident,"Incident report: Roof of pump house at drill site accessed without fall protection, fragile sheet cracked. Reported during night shift."
R11-00431,2026-02-25,Jorhat,Near Miss,"Near miss: Minor cut on finger while opening a box at compressor house, first aid given. Reported during morning inspection."
R11-00432,2026-06-23,Baghewala (Rajasthan),UC,"Unsafe condition: Reverse horn not working on van at compressor house, fixed the same day."
R11-00433,2026-08-06,Jorhat,UC,"Unsafe condition: Waste bin overflowing at workshop, cleared by housekeeping."
R11-00434,2026-06-04,Jorhat,UA,"Unsafe act observed: Waste bin overflowing at workshop, cleared by housekeeping."
R11-00435,2026-07-18,Moran,UC,"Unsafe condition: Worker not wearing safety glasses while cleaning at GGS, counselled. Reported during night shift."
R11-00436,2026-08-23,Tinsukia,UC,"Unsafe condition: Tanker driver near drill site overspeeding on narrow road, seat belt not worn, vehicle overturned close to pedestrians. Area secured."
R11-00437,2026-07-17,Tinsukia,Incident,"Incident report: Water spill on floor near canteen at compressor house, mopped, employee slipped but no injury. Supervisor informed."
R11-00438,2026-03-26,Naharkatia,UA,"Unsafe act observed: Waste bin overflowing at CPF, cleared by housekeeping."
R11-00439,2026-05-27,Duliajan,Near Miss,"Near miss: Lifting plan not prepared for wellhead equipment at oil collecting station; crane outside load chart, outrigger not fully extended. Crew of four involved."
R11-00440,2026-05-11,Moran,Near Miss,"Near miss: Waste bin overflowing at pipeline ROW, cleared by housekeeping. Crew of four involved."
R11-00441,2026-04-24,Moran,Incident,"Incident report: Welder at drill site not wearing welding gloves, spoken to and corrected."
R11-00442,2025-12-03,Duliajan,UC,"Unsafe condition: Worker not wearing safety glasses while cleaning at rig floor, counselled."
R11-00443,2025-10-11,Duliajan,Incident,"Incident report: Worker not wearing safety glasses while cleaning at rig floor, counselled."
R11-00444,2026-06-01,Naharkatia,UA,Unsafe act observed: Fire extinguisher at welding bay wellhead found past inspection date; replaced. Reported during morning inspection.
R11-00445,2026-06-09,Moran,UC,"Unsafe condition: Contractor driver at CPF drove at night without rest, vehicle hit barrier, driver fatigued, mobile phone in use. Reported during night shift."
R11-00446,2026-09-18,Moran,UC,"Unsafe condition: LOTO tag found with faded ink at pipeline ROW; tag replaced the same day, isolation was properly verified."
R11-00447,2026-05-22,Duliajan,Near Miss,"Near miss: Confined space permit at CPF filled with wrong date, corrected before entry."
R11-00448,2026-07-05,Jorhat,UA,"Unsafe act observed: Lifting sling at rig floor had expired colour code tag, removed from service. Supervisor informed."
R11-00449,2026-05-09,Tinsukia,UC,"Unsafe condition: Stacked pipes untidy at drill site store, rearranged. Reported during morning inspection."
R11-00450,2026-02-23,Duliajan,UC,"Unsafe condition: Waste bin overflowing at GGS, cleared by housekeeping. Crew of four involved."
R11-00451,2026-02-13,Naharkatia,UA,"Unsafe act observed: Crane operator log book at drill site not signed for one day, corrected."
R11-00452,2026-03-31,Jorhat,Near Miss,"Near miss: Waste bin overflowing at workshop, cleared by housekeeping. Reported during morning inspection."
R11-00453,2026-03-13,Moran,Incident,"Incident report: Isolation register at wellhead missing one signature, corrected, no work had started. Reported during morning inspection."
R11-00454,2026-03-02,Moran,Incident,"Incident report: Ladder at drill site had a loose rung, tagged out and fixed, nobody was using it. Crew of four involved."
R11-00455,2025-10-13,Jorhat,Incident,Incident report: Worker entered tank at CPF without confined space entry permit; oxygen level not tested and no standby person. Reported during night shift.
R11-00456,2025-11-04,Jorhat,UC,"Unsafe condition: Crane operator log book at wellhead not signed for one day, corrected."
R11-00457,2026-01-23,Duliajan,UC,"Unsafe condition: Gas detector at compressor house calibration due next week, scheduled. Reported during night shift."
R11-00458,2026-01-11,Duliajan,Incident,"Incident report: Toolbox talk record at drill site incomplete, corrected."
R11-00459,2026-02-05,Baghewala (Rajasthan),UA,"Unsafe act observed: Ladder at rig floor had a loose rung, tagged out and fixed, nobody was using it. Crew of four involved."
R11-00460,2026-03-13,Duliajan,Near Miss,"Near miss: Lifting sling at wellhead had expired colour code tag, removed from service. Reported during night shift."
R11-00461,2026-06-22,Jorhat,Incident,"Incident report: Crew stood under suspended pipe during rig floor handling at drill site; exclusion zone not barricaded, load swung close to worker."
R11-00462,2026-02-20,Naharkatia,Near Miss,"Near miss: Entry log at tank farm tank found untidy, updated by supervisor. Supervisor informed."
R11-00463,2025-11-05,Jorhat,Near Miss,Near miss: Fire extinguisher at welding bay wellhead found past inspection date; replaced. Reported during night shift.
R11-00464,2026-06-11,Naharkatia,UA,"Unsafe act observed: Confined space permit at workshop filled with wrong date, corrected before entry. Reported during morning inspection."
R11-00465,2025-11-05,Kharsang,Incident,"Incident report: Gas detector at drill site calibration due next week, scheduled."
R11-00466,2026-09-13,Baghewala (Rajasthan),UA,"Unsafe act observed: Cutting torch used on pipeline at oil collecting station while gas test not done, LEL not checked."
R11-00467,2026-02-01,Tinsukia,Near Miss,"Near miss: Confined space permit at tank farm filled with wrong date, corrected before entry."
R11-00468,2026-04-25,Naharkatia,Incident,"Incident report: Water spill on floor near canteen at wellhead, mopped, employee slipped but no injury."
R11-00469,2026-09-15,Duliajan,UC,"Unsafe condition: Worker at CPF climbed a 1 m step stool without helmet, advised."
R11-00470,2026-03-05,Duliajan,Incident,"Incident report: Worker positioned within swing radius of tong at CPF, near miss with drill pipe moving."
R11-00471,2026-01-14,Duliajan,Near Miss,"Near miss: Welder at GGS not wearing welding gloves, spoken to and corrected."
R11-00472,2025-11-05,Kharsang,UC,"Unsafe condition: Alarm test log at oil collecting station filled late, corrected."
R11-00473,2026-06-06,Jorhat,UA,"Unsafe act observed: Entry log at workshop tank found untidy, updated by supervisor. Supervisor informed."
R11-00474,2026-04-30,Duliajan,UC,"Unsafe condition: Fire and gas alarm disabled at oil collecting station during maintenance and not reinstated, safety critical device override. Reported during night shift."
R11-00475,2025-11-01,Kharsang,Near Miss,"Near miss: Lifting plan not prepared for wellhead equipment at pipeline ROW; crane outside load chart, outrigger not fully extended. Reported during morning inspection."
R11-00476,2026-08-18,Jorhat,UA,"Unsafe act observed: Stacked pipes untidy at oil collecting station store, rearranged. Supervisor informed."
R11-00477,2026-09-10,Naharkatia,Near Miss,Near miss: Welding carried out near open drain at wellhead without hot work permit and gas test; flammable vapour present nearby. Reported during night shift.
R11-00478,2026-06-21,Kharsang,UC,"Unsafe condition: Electrician opened MCC panel at tank farm for repair, energy not isolated, no tag-out applied, live terminals exposed."
R11-00479,2026-06-28,Jorhat,UC,"Unsafe condition: Isolation register at rig floor missing one signature, corrected, no work had started."
R11-00480,2026-02-14,Duliajan,Incident,"Incident report: Fire and gas alarm disabled at compressor house during maintenance and not reinstated, safety critical device override. Reported during night shift."
R11-00481,2026-04-18,Moran,UA,"Unsafe act observed: Gas detector at tank farm calibration due next week, scheduled. Area secured."
R11-00482,2025-10-31,Naharkatia,Incident,"Incident report: Stacked pipes untidy at wellhead store, rearranged."
R11-00483,2026-08-09,Moran,UA,Unsafe act observed: Fire extinguisher at welding bay oil collecting station found past inspection date; replaced.
R11-00484,2026-06-27,Duliajan,Incident,"Incident report: Crane operator log book at workshop not signed for one day, corrected. Reported during morning inspection."
R11-00485,2026-05-19,Kharsang,Incident,"Incident report: Toolbox talk record at workshop incomplete, corrected."
R11-00486,2026-08-12,Moran,Incident,"Incident report: Permit copy at rig floor not displayed at job site, displayed after reminder. Supervisor informed."
R11-00487,2026-08-11,Naharkatia,UC,"Unsafe condition: Work started on live wellhead at drill site without permit to work, JSA not done. Supervisor informed."
R11-00488,2025-12-24,Moran,UC,"Unsafe condition: Waste bin overflowing at drill site, cleared by housekeeping. Reported during morning inspection."
R11-00489,2026-05-22,Moran,UC,Unsafe condition: Fire extinguisher at welding bay tank farm found past inspection date; replaced.
R11-00490,2026-09-17,Duliajan,UA,"Unsafe act observed: Reverse horn not working on van at tank farm, fixed the same day. Area secured."
R11-00491,2026-08-19,Duliajan,UA,"Unsafe act observed: Confined space permit at pipeline ROW filled with wrong date, corrected before entry. Area secured."
R11-00492,2026-06-04,Moran,Incident,"Incident report: Water spill on floor near canteen at CPF, mopped, employee slipped but no injury."
R11-00493,2026-02-15,Duliajan,Incident,"Incident report: Worker not wearing safety glasses while cleaning at CPF, counselled."
R11-00494,2026-06-15,Moran,UA,Unsafe act observed: Welding carried out near open drain at oil collecting station without hot work permit and gas test; flammable vapour present nearby.
R11-00495,2026-05-13,Duliajan,Incident,"Incident report: Entry log at GGS tank found untidy, updated by supervisor. Crew of four involved."
R11-00496,2026-02-18,Tinsukia,UC,"Unsafe condition: LOTO tag found with faded ink at drill site; tag replaced the same day, isolation was properly verified. Reported during morning inspection."
R11-00497,2025-10-13,Tinsukia,UA,Unsafe act observed: Fire extinguisher at welding bay tank farm found past inspection date; replaced.
R11-00498,2026-06-08,Baghewala (Rajasthan),UC,"Unsafe condition: LOTO tag found with faded ink at wellhead; tag replaced the same day, isolation was properly verified. Area secured."
R11-00499,2026-07-27,Jorhat,Near Miss,"Near miss: Stacked pipes untidy at pipeline ROW store, rearranged."
